Title,ParkType,Bookmark,
Annual Park Ranking Report for Recreation Visits in: 2007,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year),
,,,
ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"17,352,286",6.30%
Golden Gate NRA,2,"14,397,313",5.22%
Great Smoky Mountains NP,3,"9,372,253",3.40%
Gateway NRA,4,"8,813,204",3.20%
Lake Mead NRA,5,"7,622,139",2.77%
George Washington MEM PKWY,6,"6,837,139",2.48%
Natchez Trace PKWY,7,"5,777,666",2.10%
Delaware Water Gap NRA,8,"4,836,229",1.75%
Grand Canyon NP,9,"4,413,668",1.60%
Cape Cod NS,10,"4,351,609",1.58%
Lincoln Memorial,11,"4,214,167",1.53%
World War II Memorial,12,"4,079,606",1.48%
San Francisco Maritime NHP,13,"4,042,022",1.47%
Independence NHP,14,"3,705,538",1.34%
Vietnam Veterans MEM,15,"3,633,793",1.32%
Castle Clinton NM,16,"3,509,468",1.27%
Yosemite NP,17,"3,503,428",1.27%
Korean War Veterans Memorial,18,"3,433,663",1.25%
Statue of Liberty NM,19,"3,380,296",1.23%
Colonial NHP,20,"3,343,910",1.21%
Yellowstone NP,21,"3,151,343",1.14%
Olympic NP,22,"2,988,686",1.08%
Rocky Mountain NP,23,"2,895,383",1.05%
Chattahoochee River NRA,24,"2,836,077",1.03%
Chesapeake & Ohio Canal NHP,25,"2,809,968",1.02%
Franklin Delano Roosevelt MEM,26,"2,751,725",1.00%
Zion NP,27,"2,657,281",0.96%
Grand Teton NP,28,"2,588,574",0.94%
National Capital Parks Central,29,"2,513,639",0.91%
Cuyahoga Valley NP,30,"2,486,656",0.90%
Jefferson NEM,31,"2,385,387",0.87%
Thomas Jefferson MEM,32,"2,327,254",0.84%
Cape Hatteras NS,33,"2,237,378",0.81%
Point Reyes NS,34,"2,206,294",0.80%
Acadia NP,35,"2,202,228",0.80%
Boston NHP,36,"2,184,889",0.79%
Assateague Island NS,37,"2,110,918",0.77%
Glacier NP,38,"2,083,329",0.76%
Rock Creek Park,39,"2,061,366",0.75%
Gulf Islands NS,40,"2,034,294",0.74%
Indiana Dunes NL,41,"1,972,344",0.72%
Glen Canyon NRA,42,"1,894,114",0.69%
Mount Rushmore NMEM,43,"1,856,118",0.67%
Ozark NSR,44,"1,789,783",0.65%
Amistad NRA,45,"1,734,200",0.63%
Gettysburg NMP,46,"1,647,745",0.60%
World War II Valor in the Pacific NM,47,"1,557,336",0.57%
Fort Point NHS,48,"1,552,141",0.56%
Hawaii Volcanoes NP,49,"1,467,779",0.53%
Lake Roosevelt NRA,50,"1,450,438",0.53%
Chickasaw NRA,51,"1,368,806",0.50%
Kennesaw Mountain NBP,52,"1,329,441",0.48%
Haleakala NP,53,"1,322,817",0.48%
National Capital Parks East,54,"1,311,087",0.48%
Hot Springs NP,55,"1,300,152",0.47%
Joshua Tree NP,56,"1,298,979",0.47%
Valley Forge NHP,57,"1,298,161",0.47%
San Antonio Missions NHP,58,"1,208,498",0.44%
Buffalo NR,59,"1,194,043",0.43%
New River Gorge NR,60,"1,178,012",0.43%
"John D. Rockefeller, Jr. MEM PKWY",61,"1,172,125",0.43%
Sleeping Bear Dunes NL,62,"1,134,314",0.41%
Minute Man NHP,63,"1,107,254",0.40%
Shenandoah NP,64,"1,107,227",0.40%
Everglades NP,65,"1,074,764",0.39%
President's Park,66,"1,058,774",0.38%
Mount Rainier NP,67,"1,047,685",0.38%
Canaveral NS,68,"1,038,449",0.38%
San Juan NHS,69,"1,025,407",0.37%
Bryce Canyon NP,70,"1,012,563",0.37%
Timucuan EHP,71,"999,833",0.36%
Cumberland Gap NHP,72,"994,985",0.36%
Chickamauga & Chattanooga NMP,73,"991,645",0.36%
Lake Meredith NRA,74,"984,108",0.36%
Sequoia NP,75,"979,537",0.36%
Klondike Gold Rush NHP Alaska,76,"975,043",0.35%
Curecanti NRA,77,"964,640",0.35%
Badlands NP,78,"886,654",0.32%
Cape Lookout NS,79,"860,602",0.31%
Arches NP,80,"860,181",0.31%
